id,condition,conclusion,action,page,evidence
R00173,压裂期间,存在管件爆裂伤人风险,禁止人员在周边工作或活动,85,压裂期间，禁止人员在周边工作或活动
R00174,管件爆裂风险,可能伤人,设置优化能量缓冲装置,85,设置、优化能量缓冲装置，防止管件爆裂伤人
R00175,高压件试压不合格,严禁使用,禁止投入施工,86,施工前对高压件进行试压，试压不合格严禁使用
R00176,高压件超期服务,严禁使用,禁止现场使用,86,严禁使用超期服务的高压件
R00177,高压件未经第三方检测,严禁使用,禁止现场使用,86,严禁没有经第三方检测的高压件在现场使用
R00178,压裂施工高压区,安全风险,安装防护钢板,86,压裂施工高压区周围安装防护钢板
R00179,水平井井眼轨迹复杂、水平段长、工艺难度大,泵送桥塞 - 射孔联作施工困难,增加处理井下复杂情况与故障的时间,87,这些因素的存在，既增加了处理井下复杂情况与故障的时间，又延长了施工周期
R00180,张力突然升高且施工压力突然升高,工具串井下遇阻,试起工具串或冲洗井筒,88,张力由 4.8kN 突然升至 11kN，施工压力突然由 42MPa 升至 65MPa
R00181,反复试提无行程且压力不降,桥塞座封,点火丢掉桥塞或剪断电缆,88,反复试提 4 次均无行程，判断桥塞座封
R00182,井口溢流 0.20~0.30m^3/min,井控风险,关闭流程，带压起打捞油管,89,井口溢流，溢流量 0.20~0.30m^3/min；21:20 关闭流程，带压起打捞油管 60 根
R00183,注液压力 0.2MPa 升至 17MPa,桥塞状态验证成功,停泵后观察 10min,89,井口压力 0.2MPa 升至 17MPa，停泵后观察 10min，压力不降
R00184,泵送排量与工具下放速度不匹配,桥塞中途座封,摸索合理的泵送排量、下放速度,90,泵送排量与工具下放速度不匹配，造成桥塞中途座封
R00185,桥塞遇阻后,处理措施不当,不应反复泄压、打压,90,桥塞遇阻后，对该工艺技术认识不足，处理措施不当
R00186,丢手作业前,未能很好地进行技术交底,明确要求施工队每道工序前进行技术交底,90,在丢手作业前，未能很好地进行技术交底
R00187,压力上升很快，扩散的很慢,桥塞已经座封，但座封不完全,安装钻机,91,每次压力上升很快，扩散的很慢，可以初步判断桥塞已经座封，但座封不完全
R00188,下放钻具遇阻且悬重变化,可能捞获落鱼,上下活动钻具尝试解卡,92,3:30 下放钻具到井深 2500.08m 遇阻...悬重 500kN 降至 450kN...捞获落鱼
R00189,钻磨无进尺,磨鞋可能磨损或故障,起出检查工具,92,25 日 18:00 钻磨到井深 3133.2m 无进尺。26 日 2:00 起出磨鞋检查
R00190,遇卡且泵压升高解卡无效,存在砂卡风险,循环降密度并替酸活动解卡,93,27 日遇卡泵压升至 24MPa 解卡无效...30 日循环降密度...替 20% 盐酸...解卡成功
R00191,连接防喷管时未检查限位顶丝,高压下剩余丝扣不足以支撑井筒压力,及时对防喷管的内由壬母扣上的限位顶丝进行检查,94,没有及时对防喷管的内由壬母扣上的限位顶丝进行检查
R00192,内由壬接头未完全上到位且井筒压力高,上部防喷管被井筒压力突然顶开,确保内由壬接头完全上到位,94,当井筒压力到达剩余内由壬丝扣的极限值时，上部防喷管被井筒压力突然顶开
R00193,施工压力随排量增加而缓慢增加，稳压稳不住,验封失败,重新泵送工具串,95,施工压力随排量增加而缓慢增加，稳压稳不住，验封失败
R00194,工具串遇卡，反复活动解卡无效,需辅助解卡,通过针阀控制卸套压解卡,95,解卡无效，同时通过针阀控制卸套压解卡
R00195,上提过程中电缆出现大抖动，张力骤降,解卡成功,继续上提,95,电缆出现大抖动，张力由 11.0 kN 降至 3.0 kN，解卡成功，继续上提
R00196,泵入重泥浆后井口压力降为 0,考虑地层微渗漏,立即打开井口处理电缆,96,停泵观察，井口压力降为 0，考虑地层微渗漏，立即打开井口处理电缆
R00197,工具串以下重浆已沉淀,大部分通道被堵死,停泵观察出口溢流量,96,分析工具串以下的重浆已沉淀，大部分通道被堵死。停泵观察出口溢流量
R00198,泥浆的重晶石粉沉淀,冲砂较困难,未下到鱼顶深度,96,分析是泥浆的重晶石粉沉淀，内钩的槽片较长，冲砂较困难。未下到鱼顶深度
R00199,鱼顶以上有遇阻现象,电缆缠绕了打捞工具,捞获电缆,97,鱼顶以上有遇阻现象，分析是电缆缠绕了打捞工具...捞获电缆 33m
R00200,套铣进尺 0.16m 时憋钻,悬重升至 480kN 后降至 400kN,上提管柱,97,进尺 0.16m 时憋钻。上提管柱，悬重 400kN 升至 480kN 后降至 400kN
R00201,外钩插入到鱼顶的马笼头和套管的空间且转动管柱,抓齿变形,分析工具损坏原因,99,分析是外钩插入到鱼顶的马笼头和套管的空间，转动管柱时抓齿变形
R00202,遇卡且环空有铁屑,管柱活动受限,活动管柱循环洗井,100,480kN 遇卡，分析是套铣筒和套管环空有铁屑，活动管柱循环洗井
R00203,打捞时悬重升高,可能捞获落鱼,起钻检查,100,上提管柱悬重 400kN 升至 480kN，捞获 0.1m 电缆
R00204,连续油管下放遇阻,井筒存在障碍或摩阻过大,上提下放开泵通过,101,期间在 3862.0m、3957.0m 遇阻，上提下放开泵通过
R00205,底部加压遇阻深度不变,井底存在硬障碍或卡钻,循环减阻水洗井,101,4258.0m 加压 20kN 遇阻，复探深度不变...开泵循环减阻水
R00206,泵送过程遇阻卡,井下情况复杂化,切勿采取放喷泄压的方式解卡,102,泵送过程遇阻卡，切勿采取放喷泄压的方式解卡，以免造成井下情况复杂化
R00207,压井前,只有泥浆合格了才能入井,一定要调整好泥浆性能,102,压井前一定要调整好泥浆性能，只有泥浆合格了才能入井
R00208,井内电缆长度不清楚,不能套铣鱼头,根据打捞情况判断井下的电缆长度,103,对井内电缆长度不清楚的情况下，不能套铣鱼头
R00209,电缆从电缆头弱点脱出,直接下打捞筒打捞,打捞出电缆后判断脱出位置,103,能判断电缆从电缆头弱点脱出则直接下打捞筒打捞
R00210,类似事件打捞,避免压井,尽量采用连续油管打捞,103,做好连续油管打捞的技术调研工作，尽量采用连续油管打捞
R00211,每下井 2 次,线路绝缘风险,注入足量硅脂,104,每下井 2 次就对电缆头注入足量硅脂，确保线路绝缘
R00212,每下井 6 次,电缆头绝缘风险,重做电缆头,104,每下井 6 次重做电缆头，更换电缆头配件
R00213,上提电缆时发现张力异常,井下工具遇卡,确认遇卡并处理,104,上提电缆时发现张力异常...射孔队工程师确认井下工具遇卡
R00214,泵送压力有明显波动且位于水平段,井筒内沉砂堆积形成砂桥,分析顶替是否彻底,105,泵送压力有明显波动，推测是由于桥塞在水平段泵送过程中...形成砂桥
R00215,上提电缆张力缓慢上升且停绞车张力立即恢复,判断为软卡,检查桥塞周围是否有压裂砂,105,上提电缆时，电缆张力缓慢上升...停绞车时张力立即恢复，可判断为软卡
R00216,座封桥塞时电缆张力下降不明显,桥塞在砂堆中座封存在滑移现象,验证座封效果,105,座封桥塞时电缆张力下降不明显，可进一步验证桥塞在砂堆中座封存在滑移现象
R00217,桥塞未下到设计深度,需认真分析,采取合理化处理措施，避免盲目起电缆,106,针对桥塞未下到设计深度的情况...采取合理化处理措施
R00218,每段压裂结束,便于后续施工,采用过顶替彻底清理井筒,106,建议每段压裂结束，采用过顶替彻底清理井筒
R00219,张力突然降低且井口压力升高,工具串遇卡,紧急停泵、停车,106,发现张力突然降低...紧急停泵、停车
R00220,回油流量太小,遇卡原因是回油管线被堵,检查回油管线,107,检查回油管线，发现回油流量太小，确定遇卡原因是回油管线被堵
R00221,连续油管加压遇阻,施工压力异常,减阻水正循环洗井,107,22:40 下连续油管加压 20kN 遇阻，深度 4104.00m，减阻水正循环洗井
R00222,施工中发现出井工具串有带砂,防喷盒内可能积累压裂砂,冲洗回油管线并清理防喷盒密封胶芯,108,施工中发现出井工具串有带砂的情况，要在下次施工前冲洗回油管线
R00223,压裂完成之后,井筒内可能有残余压裂砂,尽量以大排量顶替,108,压裂完成之后，尽量以大排量顶替以保证顶替效果，尽量清理井筒内残余压裂砂
R00224,不同井段不同井斜下,施工难度和风险不同,泵送参数与电缆起下速度一致,108,不同井段，不同井斜下，泵送参数与电缆起下速度一致
R00225,泵送桥塞时 CCL 曲线异常、张力异常、压力升高,工具落井,起电缆检查,109,CCL 曲线异常、张力异常，排量由 0.4m3/min 升至 1.8m3/min，施工压力由 28.61MPa 升至 58.63MPa
R00226,电缆遇卡变形严重,电缆打扭,剪掉电缆打扭部分，重新连接,109,电缆变形严重，工具落井...剪掉电缆打扭部分，重新连接电缆
R00227,泵送桥塞遇阻且泵压升高,工具串可能受损或井筒异常,起出工具串检查,110,遇阻，施工压力 58MPa... 起出工具串，检查无明显磨损
R00228,射孔点火不成功,发射率不足,下连续油管补射孔,110,第一枪点火不成功... 下连续油管补射孔
R00229,发现 CCL 曲线异常、张力异常,未采取任何措施,盲目施工,111,发现 CCL 曲线异常、张力异常的情况下未采取任何措施，盲目施工
R00230,压裂车供液连接管线不紧凑,尾部流速降低而含砂,地面流程整改,111,压裂车供液连接管线不紧凑，导致尾部流速降低而含砂。对地面流程进行了整改
R00231,施工过程中有异常,存在施工风险,及时停泵,112,施工过程中有异常及时停泵
R00232,压裂地面管线流程和泵送桥塞 - 射孔联作施工共用流程,需优化管线布局,尽量缩短地面流程管线,112,压裂地面管线流程和泵送桥塞 - 射孔联作施工共用流程时，尽量缩短地面流程管线
R00233,不同的井斜、井深、井身结构,需定制施工参数,确定泵送的泵压排量及电缆起下速度,112,根据不同的井斜、井深、井身结构，确定泵送的泵压排量及电缆起下速度
R00234,泵送桥塞 - 射孔联作流程,防止砂入井,流程单独连接,112,泵送桥塞 - 射孔联作流程单独连接，确保泵送施工中无压裂砂带入井内
R00235,桥塞火药只燃烧了 20%,产生的能量不足以使桥塞完全座封,地面检查工具,113,桥塞火药只燃烧了 20% 就停止燃烧，产生的能量不足以使桥塞完全座封
R00236,试挤压力升至 77.1MPa,泵压异常,停泵,113,施工压力由 15.6MPa 升至 77.1MPa 后降至 44MPa，停泵
R00237,使用 600 级桥塞火药,存在事故风险,禁止使用,114,禁止使用这一批次的桥塞火药（600 级）
R00238,现场存放射孔器材,需防止受潮,做好防潮、保管工作,114,现场合理存放射孔器材，做好防潮、保管工作
R00239,上提电缆张力上升且未能解卡,工具串遇卡,初步判定遇卡,114,反复上提 5 次未能解卡，初步判定工具串遇卡
R00240,张力骤降至 3.0kN 且信号丢失,仪器落井,制定打捞方案,115,张力显示降至 3.0kN，地面仪器读不到磁定位的信号，最终确定仪器落井
R00241,电缆剧烈跳动且张力异常降低,电缆断裂,检查电缆损坏情况,115,电缆剧烈跳动，张力显示降至 3.0kN，检查电缆损坏情况
R00242,点火时张力下降低于正常值 0.4~0.9kN,桥塞遇卡风险,分析火药及工具状态,116,点火时张力下降 0.2kN，低于正常张力下降 0.4~0.9kN 的等现象，分析出现桥塞点火座封后遇卡原因
R00243,泵送张力变化范围加大且速度降低,井段存在不明物阻碍,判断沉砂影响,116,电缆张力突然变化范围加大到 2.9~4.0kN，速度由 32m/min 降至 22m/min，根据此现象判断该井段存在不明物阻碍
R00244,试压 10min 压降 0.2MPa,合格,继续施工,116,7:30 减阻水打压 70MPa 对桥塞试压，10min 压降 0.2MPa，合格
R00245,落井工具捞获之后,根据前期判断,进行解剖分析,117,落井工具捞获之后，根据前期判断，进行解剖分析
R00246,张力降低 0.2 kN,可能是推动工具上行过程中被卡,进行解剖分析,117,张力之所以降低 0.2 kN，可能是推动工具上行过程中被卡
R00247,密封圈光滑无损伤,存在漏气的可能性非常小,排除漏气故障,117,检查密封圈光滑，无毛刺、划痕、形变及其他损伤，存在漏气的可能性非常小
R00248,井口压力降至 15 MPa 且压力不能恢复,桥塞以下地层压力难以向上传递,停止上提,118,井口压力降至 15 MPa 时停止上提，压力不能恢复，说明桥塞以下地层压力难以向上传递
R00249,点火电流异常且无张力变化,点火没有成功,更换点火控制面板或再次点火,118,根据电流判定没有点火成功，更换点火控制面板，再次进行编码通信
R00250,判断桥塞座封失败,上提电缆,拆开防喷管检查,119,判断桥塞座封失败，上提电缆。14:45 拆开防喷管
R00251,井口试压合格且工具检查正常,确定桥塞点火座封成功,连续油管输送射孔,119,确定桥塞点火座封成功。联系连续油管队伍进行连续油管输送射孔
R00252,桥塞点火后,需验证座封状态,进行验封检测,120,没有在桥塞点火后进行验封检测，导致对桥塞座封的误判
R00253,遇到特殊情况,充分考虑施工风险,制定详细控制措施,120,遇到特殊情况充分考虑施工风险后制定详细控制措施
R00254,张力显示下降且井口压力下降,初步判断工具串落井,起出电缆关井,121,张力显示由 7.8kN 降至 4.5kN，井口压力由 43MPa 降至 22MPa...初步判断工具串落井
R00255,打捞加压后悬重下降,解卡成功或捞获,起出管柱关井,121,上提悬重 170kN 降为 156kN。捞获全部落鱼
R00256,井筒不清洁且油泥多,工具串遇阻风险,前期井筒准备时应清洁井筒,122,第 1 段压裂未能加砂，井筒不清洁，油泥多...前期井筒准备时应清洁井筒
R00257,桥塞上下端面形成较大正压差,电缆头弱点拉断,保证井筒干净,122,导致桥塞上部与下部形成较大的正压差...正是上述二方面原因导致上提电缆无法解卡
R00258,泵送过程中突然发生遇阻,发生遇阻故障,立即通知压裂车停泵，绞车停车,123,若泵送过程中突然发生遇阻，应立即通知压裂车停泵，绞车停车。
R00259,停泵后压力不降或下降非常缓慢,井内压力未平衡,尽快放松电缆，同时开井泄压到与井内压力平衡,123,停泵后压力不降或下降非常缓慢，尽快放松电缆，同时开井泄压到与井内压力平衡。
R00260,遇卡后停泵井口压力明显高于工具串入井前,可能发生桥塞座封或井筒异常,首先应降低井口压力，再进行提拉电缆解卡操作,123,若遇卡后停泵井口压力明显高于工具串入井前井口压力，且下降缓慢，则首先应降低井口压力，再进行提拉电缆解卡操作。
R00261,解卡时,电缆缆芯绝缘可能破坏,不推荐反复、大吨位提拉电缆,123,解卡时，不推荐反复、大吨位提拉电缆，以免电缆缆芯的绝缘破坏。
R00262,泵送时仍然遇阻,井筒可能存在障碍,建议起出工具串，处理井筒后再施工,123,若泵送时仍然遇阻，建议起出工具串，处理井筒后再施工。
R00263,第一次打捞加压 20kN 悬重无明显变化,未捞获落鱼,增加加压至 40kN 复探,124,加压 20kN，上提 3m 后又下放加压 20kN，悬重无明显变化...加压 40kN，复探两次...捞获全部落鱼
R00264,桥塞下放管柱遇阻且加压无法下行,座封失败,起出桥塞,124,加压 20kN 无法下行，反复上提下放...22:30 起连续油管带出桥塞
R00265,井眼轨迹上翘且工具串摩阻较大,泵送排量设置偏高易致工具串弹射,制定针对这种井况调整和细化泵送的应急方案,125,由于井眼轨迹上翘...因此泵送排量设置偏高...未能及时地制定针对这种井况调整和细化泵送的应急方案
R00266,泵送失败时反复出现张力异常,复杂井况认识不够,及时制定针对这种井况调整和细化泵送的应急方案,125,在前二次泵送失败时反复出现了几次张力异常后...未能及时地制定针对这种井况调整和细化泵送的应急方案
R00267,井眼轨迹情况复杂,掉枪风险增加,合理的减小泵送排量,126,根据井眼轨迹情况，合理的减小泵送排量，减少工具串的泵送推力
R00268,井下 CCL 曲线、张力异常,施工异常,立即停泵，起到直井段，分析原因,126,在施工中如果遇到井下 CCL 曲线、张力异常等情况时，立即停泵，起到直井段
R00269,地面张力波动范围比平常大且随段数增加,电缆拉断风险,分析泵送施工曲线,127,地面张力始终的波动范围要比平常泵送时大，且波动范围随段数增加而增加
R00270,加压 60kN 无进尺,磨铣受阻,起出工具检查,127,加压 60kN 无进尺；19:10 工具起到井口，检查工具无异常
R00271,张力波动超过 4.4kN 或张力绝对值存在增加趋势,张力异常,立即停泵并加速下放电缆，避免泵脱，起出工具串,129,如果发现异常（张力波动超过 4.4kN，或者张力绝对值存在增加趋势），立即停泵并加速下放电缆
R00272,压力波动或者压力绝对值过高,泵送风险增加,积极与压裂队等共同查找原因,129,如果压力波动或者压力绝对值过高，应积极与压裂队等共同查找原因
R00273,泵送 3~4 次后或视泵送施工情况,电缆头需维护,应重新制作电缆头,129,泵送 3~4 次后或视泵送施工情况，应重新制作电缆头
R00274,座封工具中有砂,遇阻风险,清理井筒,130,检查：座封工具中有砂；14:00 清理井筒
R00275,井眼轨迹上翘,泵送困难,加滚珠接头,130,水平段为上翘型...中间加φ96.5mm 滚珠接头 2 只
R00276,井眼轨迹上翘且井斜角变化大,泵送摩擦阻力大,优化泵送射孔工具串结构,131,该井水平井眼轨迹上翘，井斜角最大达到 106.8°...优化泵送射孔工具串结构
R00277,模拟工具串设计长度长,前行困难,缩短射孔枪长度,131,模拟工具串设计长度长...前行困难...缩短了射孔枪长度
R00278,大井斜角及上翘型井眼轨迹,模拟工具串泵送摩擦阻力大,增加滚珠接头,131,在如此大井斜角及上翘型井眼轨迹中，模拟工具串泵送摩擦阻力大...增加了滚珠接头
R00279,施工压力呈凸齿状波动且电缆张力异常上涨,井下工具串遇卡,紧急停泵、加快下放电缆速度,132,施工压力呈凸齿状波动...电缆张力随之异常上涨。操作人员采取紧急停泵
R00280,提放电缆未能解卡且通讯异常,释放桥塞方案无法执行,正打压冲洗或拉断电缆弱点,132,提放电缆未能解卡...无法与桥塞工具进行通信...采用正打压冲洗...决定拉断电缆弱点
R00281,电缆拉力超过弱点承受极限,电缆在弱点处拉脱,上提电缆到井口,132,上提电缆拉力到 24.0kN 电缆张力瞬间降到 5.3kN...判断电缆在电缆弱点处拉脱
R00282,压裂施工压力较高且排量下降,井筒内存在沉砂风险,避免超压停泵并及时泵送,133,为避免超压停泵，排量由 14m³/min 降至 8.5m³/min 下降，可能导致井筒内存在沉砂
R00283,泵送压力呈凸齿状波动,沉砂形成小砂堆临时阻挡,注意沉砂影响,133,泵送压力呈凸齿状波动，说明泵送推送中沉砂形成小砂堆临时阻挡所致
R00284,泵送桥塞射孔压力超过 75MPa,压力过高,停止泵送，重新挤酸及大排量冲洗,134,泵送桥塞射孔压力过高时（超过 75MPa）停止泵送，重新挤酸及大排量冲洗处理
R00285,压裂情况比较特殊的井,需优化井筒条件,进行挤注、顶替等处理，缩短等待时间,134,对于压裂情况比较特殊的井，建议进行挤注、顶替等处理，为泵送桥塞射孔提供更好的条件
R00286,泵送时电缆张力突然上升,电缆拉脱工具串落井,通知停泵,135,电缆张力突然上升，4245.2m 时绞车加速，并通知停泵
R00287,提高排量后电缆持续伸长且张力异常上升,排量设计偏大,优化排量设计,136,提高到 1.6m^3/min 后 2min 即出现张力异常上升，直到泵脱，说明在排量设计时仍然偏大
R00288,最大井斜 90.9°且电缆每千米伸长量 3m 以上,冗余量设计不合理风险,增加电缆冗余量,136,由于该井最大井斜 90.9°，又考虑到电缆每千米伸长量 3 m 以上，设计时电缆最大冗余量为 3 m
R00289,张力出现异常,反应速度慢风险,及时提速,136,张力出现异常 1 m 后提速，仍然没有跟上桥塞射孔工具串速度
R00290,压裂完到泵送间隔达 6h,井筒条件复杂风险,注意水平段沉积物,136,压裂完到泵送间隔达 6 h，且又是第 1 段压裂后泵送，水平段沉积物较严重
R00291,等待时间较长,井筒可能存在复杂情况,泵送前要对井筒先行处理,137,对等待时间较长的井，泵送前要对井筒先行处理
R00292,泵送排量设计,需结合井眼轨迹变化,结合井眼轨迹的变化，做好优化,137,在泵送排量设计上要结合井眼轨迹的变化，做好优化
R00293,提高发动机转速,不影响发电机及其他辅助设备,尽可能提高发动机转速，以提高应对复杂问题的能力,137,在不影响发电机及其他辅助设备的情况下尽可能提高发动机转速
R00294,试压 50MPa，10min 压降 20MPa,试压不合格,反复试压或检查工具,138,10min 压降 20MPa，试压不合格
R00295,管柱遇阻且活动解卡未成功,需钻磨或打捞,组下钻磨管柱或打捞管柱,138,活动解卡未成功；16:50 连接连续油管钻磨管柱
R00296,下入桥塞前,防止异物影响桥塞的座封,要对井筒进行清理,139,下入桥塞前要对井筒进行清理，防止异物影响桥塞的座封
R00297,张力突然上升且 CCL 信号消失,射孔枪断脱,起出电缆检查,139,张力突然上升...CCL 信号消失，分析为射孔枪断脱。起出电缆检查
R00298,遇阻且压降明显,套管可能存在变形,起出管柱检查工具串,139,遇阻...压降明显，试压不合格，起出管柱，检查工具串完好
R00299,泵送时电缆张力过低、张力变化过大,井况复杂,立即停泵，上提工具串到直井段处，重新泵送或处理井筒后再泵送施工,140,后续施工中若遇到井况复杂，如泵送时电缆张力过低、张力变化过大等情况，应立即停泵
R00300,套管内壁可能有油泥,风险,适当降低泵送排量和电缆下放速度,140,基于该井套管内壁可能有油泥，应适当降低泵送排量和电缆下放速度
R00301,条件允许,减少故障风险,尽量减少泵送的停等时间,140,在条件允许的情况下，尽量减少泵送的停等时间
R00302,上提电缆张力变化量不得超过 6kN,电缆遇卡风险,先采用压力冲砂对阻流管进行清洗，然后试提电缆,141,根据上提电缆张力变化量不得超过 6kN 的要求
R00303,电缆缓慢上提过程中发现张力逐渐增大,阻流管下端电缆整形处形成“鸟窝”,再次进行电缆整形,141,判断为阻流管下端电缆整形处形成“鸟窝”，遂再次进行电缆整形
R00304,张力突变,电缆断裂风险,控制起电缆速度,142,注意观察张力变化，及时做好现场应对措施
R00305,电缆携带压裂砂,砂卡风险,配备化学注脂泵,142,电缆上携带压裂砂...配备化学注脂泵
R00306,速度与排量调节不能消除曲线异常,曲线异常持续,及时停泵，进行重新泵送,143,进行速度与排量调节不能消除曲线异常，则应及时停泵，进行重新泵送
R00307,重新泵送仍然出现曲线异常,井筒可能存在杂物,将工具串起出井口，进行井筒清洗,143,若重新泵送仍然出现曲线异常，则应将工具串起出井口，进行井筒清洗
R00308,电缆张力迅速增加幅度达 1.50kN,张力异常风险,迅速提升绞车速度，立即停泵,143,电缆张力迅速增加幅度达 1.50kN 时，应迅速提升绞车速度...立即停泵
R00309,泵送排量设置,需优化参数,从 0.4m3/min 起，以 0.2m3/min 或 0.3m3/min 幅度递增，最大不超过 1.8m3/min,143,泵送排量从 0.4m3/min 起，以 0.2m3/min 或 0.3m3/min 幅度递增，最大不超过 1.8m3/min
R00310,电缆头张力控制,需保持低张力,尽量使电缆头张力在 0.5kN 以下,143,尽量使电缆头张力在 0.5kN 以下，在安全情况下，将电缆多下 5m 左右作为冗余量
R00311,张力突然上升,电缆可能拉断,及时快速下放电缆，发出停泵指令,144,绞车操作工没有及时快速下放电缆，泵送指挥人员发出停泵指令也较慢
R00312,节箍信号异常且速度排量调节不能消除,泵送过程存在风险,及时停泵，进行重新泵送,144,在进行速度与排量调节不能消除曲线异常，则应及时停泵
R00313,重新泵送仍然出现曲线异常,井筒可能存在障碍,将工具串起出井口，井筒清洗重新泵送,144,若重新泵送仍然出现曲线异常，则应将工具串起出井口，井筒清洗
R00314,泵送前,需优化泵送参数,泵送排量从 0.4m³/min 起，最大不超过 1.8m³/min,144,泵送排量从 0.4m³/min 起，以 0.2m³/min 或 0.3m³/min 幅度递增，最大不超过 1.8m³/min
R00315,泵送过程中,需控制电缆张力,尽量使电缆头张力在 5kN 以下,144,根据电缆张力和节箍长度等信息实时调整电缆运行速度，尽量使电缆头张力在 5kN 以下
R00316,电缆张力迅速增加幅度达 1.50kN,张力异常风险,迅速提升绞车速度，停泵,145,发生电缆张力迅速增加幅度达 1.50kN 时，迅速提升绞车速度...立即停泵
R00317,上提张力上升且绞车下放电缆无下行显示,判断为砂卡,解卡处理,145,上提张力由 6kN 上升至 8kN；绞车下放，电缆无下行显示，判断为砂卡
R00318,压裂加砂完毕后,减少压裂砂在井筒内的残留,加入适当的胶液并以大排量顶替,146,建议加入适当的胶液并以大排量、不小于井筒容积 1.5 倍减阻水顶替
R00319,电缆张力突然异常上涨,电缆遇卡风险,紧急停泵、并加快下放电缆速度,146,此时电缆张力突然异常上涨。操作人员采取紧急停泵、并加快下放电缆速度等措施
R00320,最后一段塞的加砂量,防止砂卡,及时关闭砂斗，严格执行设计顶替量,146,压裂指挥认真关注最后一段塞的加砂量，及时关闭砂斗，严格执行设计顶替量
R00321,发现枪串行走出现异常,泵送过程存在风险,可以上提到设计深度重新泵送,147,密切关注张力和泵压情况，发现枪串行走出现异常，可以上提到设计深度重新泵送
R00322,泵送排量设计不合理,影响泵送安全,在泵送排量设计上进一步优化，尽可能降低排量,147,在泵送排量设计上进一步优化，尽可能降低排量对泵送安全的影响
R00323,上提电缆张力升至 10 kN,判断射孔工具串遇卡,活动电缆解卡,148,14:40 上提电缆，张力升至 10 kN，判断射孔工具串遇卡
R00324,活动电缆解卡无效,需增大上提张力,上提张力至 18.5 kN 解卡,148,16:52 上提到 18.5 kN 活动解卡时，张力突然从 18.5 kN 降至 5.8 kN
R00325,泵送桥塞 - 射孔联作施工前,需预防井筒积砂导致遇卡,了解压裂和顶替情况，判断井筒内积砂,148,泵送桥塞 - 射孔联作施工前要了解泵送施工前压裂和顶替情况
R00326,电缆张力突升,电缆拉断风险,检查电缆头弱点处,149,电缆张力由 3.7 kN 突升至 9.8 kN...从电缆头弱点处拉断
R00327,连续油管遇卡,无法解卡,投球打压脱手,149,上提连续油管遇卡...11:41 投球打压脱手
R00328,井眼轨迹上翘且泵送过程中工具串推动砂子前进,容易形成砂桥,预防砂堵风险,150,该井井眼轨迹上翘，在上翘段泵送过程中工具串推动砂子前进，容易形成砂桥
R00329,遇到井眼轨迹上翘的井,压裂完成后,尽量将井筒内砂子顶替干净,151,遇到井眼轨迹上翘的井，压裂完成后，尽量将井筒内砂子顶替干净
R00330,打捞落物前,防止捞获落鱼后解卡不成功,先将鱼顶附近清理干净,151,打捞落物前先将鱼顶附近清理干净，以便于后继打捞
R00331,泵送设计,制定详细的预案,充分考虑井眼轨迹的变化,151,泵送设计应充分考虑井眼轨迹的变化，制定详细的预案
R00332,工具串过井口遇阻,工具串太短导致倾斜,调整工具串结构,152,现场判断由于工具串太短，工具串过井口时倾斜，无法通过
R00333,井下多次遇阻,井筒存在障碍,正循环冲下,152,用金属减阻剂配 20m³ 混合液正循环冲下，分别过遇阻点
R00334,未捞获落鱼,打捞失败,更换打捞工具,153,未捞获落鱼。10:50 更换打捞工具
R00335,下放管柱遇阻,存在障碍,加压抓鱼,153,遇阻，加压 100kN 抓鱼
R00336,钻塞完成,井筒存在碎屑,清理井筒,153,钻除；8:00 减阻水正循环...清理井筒工具
R00337,桥塞点火后电脑出现黑屏,看不到射孔曲线,停止射孔作业,154,现场未严格执行操作规程停止射孔作业，而是继续上提电缆
R00338,电缆张力从 9.0kN 上升至 10.0kN,桥塞未丢手,第一时间发现,154,电缆张力从 9.0kN 上升至 10.0kN，现场操作人员判断失误
R00339,连续油管射孔,造成重复射孔,对射孔工艺进行技术交底,154,未对射孔工艺进行技术交底，造成对井段 5043.07~5044.57m 重复射孔
R00340,操作人员电脑等重要设备出现故障,设备故障,严禁进行下一步操作,155,操作人员电脑等重要设备出现故障情况下，严禁进行下一步操作
R00341,桥塞到第一枪,需确认丢手状态,上提值大于 15m,155,尽量使桥塞到第一枪的上提值大于 15m
R00342,电缆上提张力异常下降 2.7kN,怀疑工具串有可能落井,上提电缆进行检查,155,发现电缆上提张力异常，怀疑工具串有可能落井
R00343,井斜角度超过 98°,工具串下滑压断电缆风险,采用不停车点火的方式,156,对于井斜角度超过 98°的井，座封桥塞和射孔应保持合适速度上提，采用不停车点火的方式
R00344,第 2 簇及第 3 簇射孔时,避免射孔工具串下滑,开泵用 0.5m³/min 的排量冲工具串,156,第 2 簇及第 3 簇射孔时，开泵用 0.5m³/min 的排量冲工具串，射孔时均采用不停车点火的方式
R00345,上提电缆张力升高且无磁定位信号,判断工具串卡住,泵注液体解卡,157,13:42 上提电缆，张力由 8.9kN 升至 15kN，无磁定位信号，判断工具串卡住。
R00346,点火极性接反,造成误射孔,复查点火施工过程,157,通过复查点火施工过程，检查发现点火极性接反造成误射孔。
R00347,张力降至 0.4kN 且防喷管拆开,工具串落井,计算落鱼长度,158,张力 0.4kN，确定工具串落井...经过计算，落井电缆长度 6.35m
R00348,点火确认制度执行不到位,误操作接反线路极性,制定并严格执行点火确认制度,158,点火确认制度执行不到位...制定并严格执行点火确认制度
